created_at;full_text;label;casefold;cleaned;tokens;stopword_removed;stemmed;final_text
Wed Oct 30 12:30:43 +0000 2024;emg cuma aespa yg saling sayang satu sama lain. agensinya kek taik.;Opini/Ekspresi;emg cuma aespa yg saling sayang satu sama lain. agensinya kek taik.;emg cuma aespa yg saling sayang satu sama lain agensinya kek taik;['emg', 'cuma', 'aespa', 'yg', 'saling', 'sayang', 'satu', 'sama', 'lain', 'agensinya', 'kek', 'taik'];['emg', 'cuma', 'yg', 'saling', 'sayang', 'satu', 'sama', 'agensinya', 'kek', 'taik'];['emg', 'cuma', 'yg', 'saling', 'sayang', 'satu', 'sama', 'agens', 'kek', 'taik'];emg cuma yg saling sayang satu sama agens kek taik
Tue Oct 29 00:25:10 +0000 2024;sumpah gue kalau jd member aespa apapun alasannya gamau lg temenan sama tuh gg bukannya benci sama member tp ngeri bgt kaya lg kospley jadi mata-mata korut;Opini/Ekspresi;sumpah gue kalau jd member aespa apapun alasannya gamau lg temenan sama tuh gg bukannya benci sama member tp ngeri bgt kaya lg kospley jadi mata-mata korut;sumpah gue kalau jd member aespa apapun alasannya gamau lg temenan sama tuh gg bukannya benci sama member tp ngeri bgt kaya lg kospley jadi mata mata korut;['sumpah', 'gue', 'kalau', 'jd', 'member', 'aespa', 'apapun', 'alasannya', 'gamau', 'lg', 'temenan', 'sama', 'tuh', 'gg', 'bukannya', 'benci', 'sama', 'member', 'tp', 'ngeri', 'bgt', 'kaya', 'lg', 'kospley', 'jadi', 'mata', 'mata', 'korut'];['sumpah', 'gue', 'kalau', 'jd', 'member', 'apapun', 'alasannya', 'gamau', 'lg', 'temenan', 'sama', 'tuh', 'gg', 'bukannya', 'benci', 'sama', 'member', 'tp', 'ngeri', 'bgt', 'kaya', 'lg', 'kospley', 'jadi', 'mata', 'mata', 'korut'];['sumpah', 'gue', 'kalau', 'jd', 'member', 'apa', 'alas', 'gamau', 'lg', 'temenan', 'sama', 'tuh', 'gg', 'bukan', 'benci', 'sama', 'member', 'tp', 'ngeri', 'bgt', 'kaya', 'lg', 'kospley', 'jadi', 'mata', 'mata', 'korut'];sumpah gue kalau jd member apa alas gamau lg temenan sama tuh gg bukan benci sama member tp ngeri bgt kaya lg kospley jadi mata mata korut
Wed Oct 30 14:53:28 +0000 2024;aespa dan seventeen. dua grup supel dengan prinsip akan kutrabas batas pertemanan itu wkwkwk. aespa yang siapa lagi yg mau lu shipper-in sm kita sini kita jabanin (bsknya ngonten bareng) dan seventeen dengan segudang teman temannya ;Interaksi Fandom;aespa dan seventeen. dua grup supel dengan prinsip akan kutrabas batas pertemanan itu wkwkwk. aespa yang siapa lagi yg mau lu shipper-in sm kita sini kita jabanin (bsknya ngonten bareng) dan seventeen dengan segudang teman temannya ;aespa dan seventeen dua grup supel dengan prinsip akan kutrabas batas pertemanan itu wkwkwk aespa yang siapa lagi yg mau lu shipper in sm kita sini kita jabanin bsknya ngonten bareng dan seventeen dengan segudang teman temannya;['aespa', 'dan', 'seventeen', 'dua', 'grup', 'supel', 'dengan', 'prinsip', 'akan', 'kutrabas', 'batas', 'pertemanan', 'itu', 'wkwkwk', 'aespa', 'yang', 'siapa', 'lagi', 'yg', 'mau', 'lu', 'shipper', 'in', 'sm', 'kita', 'sini', 'kita', 'jabanin', 'bsknya', 'ngonten', 'bareng', 'dan', 'seventeen', 'dengan', 'segudang', 'teman', 'temannya'];['seventeen', 'grup', 'supel', 'prinsip', 'kutrabas', 'batas', 'pertemanan', 'wkwkwk', 'siapa', 'yg', 'mau', 'lu', 'shipper', 'sm', 'sini', 'jabanin', 'bsknya', 'ngonten', 'bareng', 'seventeen', 'segudang', 'teman', 'temannya'];['seventeen', 'grup', 'supel', 'prinsip', 'kutrabas', 'batas', 'teman', 'wkwkwk', 'siapa', 'yg', 'mau', 'lu', 'shipper', 'sm', 'sini', 'jabanin', 'bsknya', 'ngonten', 'bareng', 'seventeen', 'gudang', 'teman', 'teman'];seventeen grup supel prinsip kutrabas batas teman wkwkwk siapa yg mau lu shipper sm sini jabanin bsknya ngonten bareng seventeen gudang teman teman
Wed Oct 30 11:45:09 +0000 2024;yang aespa ga pada minat kah guys? ;Interaksi Fandom;yang aespa ga pada minat kah guys? ;yang aespa ga pada minat kah guys;['yang', 'aespa', 'ga', 'pada', 'minat', 'kah', 'guys'];['ga', 'minat', 'guys'];['ga', 'minat', 'guys'];ga minat guys
Wed Oct 30 10:57:59 +0000 2024;alasan gak nyesel kuliah di kr: bisa nonton aespa gratis https://t.co/UGxBkMnftF;Opini/Ekspresi;alasan gak nyesel kuliah di kr: bisa nonton aespa gratis https://t.co/ugxbkmnftf;alasan gak nyesel kuliah di kr bisa nonton aespa gratis;['alasan', 'gak', 'nyesel', 'kuliah', 'di', 'kr', 'bisa', 'nonton', 'aespa', 'gratis'];['alasan', 'gak', 'nyesel', 'kuliah', 'kr', 'nonton', 'gratis'];['alas', 'gak', 'nyesel', 'kuliah', 'kr', 'nonton', 'gratis'];alas gak nyesel kuliah kr nonton gratis
Wed Oct 30 22:10:09 +0000 2024;Iya bgt kalo gue liat aespa challenge sama member dr grub lain terus yg diajak mukanya kek keliatan kepaksa tuh rasanya kesel. Asli deh kalo kepaksa mending bilang gk mau. Drpd gue harus liat muka kepaksanya. Disaat member ae pd senyum dan excited eh yg satunya gitu ekspresinya;Opini/Ekspresi;iya bgt kalo gue liat aespa challenge sama member dr grub lain terus yg diajak mukanya kek keliatan kepaksa tuh rasanya kesel. asli deh kalo kepaksa mending bilang gk mau. drpd gue harus liat muka kepaksanya. disaat member ae pd senyum dan excited eh yg satunya gitu ekspresinya;iya bgt kalo gue liat aespa challenge sama member dr grub lain terus yg diajak mukanya kek keliatan kepaksa tuh rasanya kesel asli deh kalo kepaksa mending bilang gk mau drpd gue harus liat muka kepaksanya disaat member ae pd senyum dan excited eh yg satunya gitu ekspresinya;['iya', 'bgt', 'kalo', 'gue', 'liat', 'aespa', 'challenge', 'sama', 'member', 'dr', 'grub', 'lain', 'terus', 'yg', 'diajak', 'mukanya', 'kek', 'keliatan', 'kepaksa', 'tuh', 'rasanya', 'kesel', 'asli', 'deh', 'kalo', 'kepaksa', 'mending', 'bilang', 'gk', 'mau', 'drpd', 'gue', 'harus', 'liat', 'muka', 'kepaksanya', 'disaat', 'member', 'ae', 'pd', 'senyum', 'dan', 'excited', 'eh', 'yg', 'satunya', 'gitu', 'ekspresinya'];['iya', 'bgt', 'kalo', 'gue', 'liat', 'challenge', 'sama', 'member', 'dr', 'grub', 'terus', 'yg', 'diajak', 'mukanya', 'kek', 'keliatan', 'kepaksa', 'tuh', 'rasanya', 'kesel', 'asli', 'deh', 'kalo', 'kepaksa', 'mending', 'bilang', 'gk', 'mau', 'drpd', 'gue', 'liat', 'muka', 'kepaksanya', 'disaat', 'member', 'ae', 'pd', 'senyum', 'excited', 'eh', 'yg', 'satunya', 'gitu', 'ekspresinya'];['iya', 'bgt', 'kalo', 'gue', 'liat', 'challenge', 'sama', 'member', 'dr', 'grub', 'terus', 'yg', 'ajak', 'muka', 'kek', 'liat', 'paksa', 'tuh', 'rasa', 'kesel', 'asli', 'deh', 'kalo', 'paksa', 'mending', 'bilang', 'gk', 'mau', 'drpd', 'gue', 'liat', 'muka', 'paksa', 'saat', 'member', 'ae', 'pd', 'senyum', 'excited', 'eh', 'yg', 'satu', 'gitu', 'ekspresi'];iya bgt kalo gue liat challenge sama member dr grub terus yg ajak muka kek liat paksa tuh rasa kesel asli deh kalo paksa mending bilang gk mau drpd gue liat muka paksa saat member ae pd senyum excited eh yg satu gitu ekspresi
Wed Oct 30 17:33:24 +0000 2024;WTS ACC RP F1K - verif email only - data acc lengkap dapet semua - go green masuk mt ht deres bgt (bisa test) - bekas pemakaian pribadi (rp cewe) - ada upchar manual Karina Aespa dm/wa yang ada di bio #zonauang #zonatest #zonaba https://t.co/iLnNzI8qSm;Promosi;wts acc rp f1k - verif email only - data acc lengkap dapet semua - go green masuk mt ht deres bgt (bisa test) - bekas pemakaian pribadi (rp cewe) - ada upchar manual karina aespa dm/wa yang ada di bio #zonauang #zonatest #zonaba https://t.co/ilnnzi8qsm;wts acc rp f k verif email only data acc lengkap dapet semua go green masuk mt ht deres bgt bisa test bekas pemakaian pribadi rp cewe ada upchar manual karina aespa dm wa yang ada di bio zonauang zonatest zonaba;['wts', 'acc', 'rp', 'f', 'k', 'verif', 'email', 'only', 'data', 'acc', 'lengkap', 'dapet', 'semua', 'go', 'green', 'masuk', 'mt', 'ht', 'deres', 'bgt', 'bisa', 'test', 'bekas', 'pemakaian', 'pribadi', 'rp', 'cewe', 'ada', 'upchar', 'manual', 'karina', 'aespa', 'dm', 'wa', 'yang', 'ada', 'di', 'bio', 'zonauang', 'zonatest', 'zonaba'];['wts', 'acc', 'rp', 'f', 'k', 'verif', 'email', 'data', 'acc', 'lengkap', 'dapet', 'semua', 'go', 'green', 'masuk', 'mt', 'ht', 'deres', 'bgt', 'test', 'bekas', 'pemakaian', 'pribadi', 'rp', 'cewe', 'upchar', 'manual', 'karina', 'dm', 'wa', 'bio', 'zonauang', 'zonatest', 'zonaba'];['wts', 'acc', 'rp', 'f', 'k', 'verif', 'email', 'data', 'acc', 'lengkap', 'dapet', 'semua', 'go', 'green', 'masuk', 'mt', 'ht', 'deres', 'bgt', 'test', 'bekas', 'pakai', 'pribadi', 'rp', 'cewe', 'upchar', 'manual', 'karina', 'dm', 'wa', 'bio', 'zonauang', 'zonatest', 'zonaba'];wts acc rp f k verif email data acc lengkap dapet semua go green masuk mt ht deres bgt test bekas pakai pribadi rp cewe upchar manual karina dm wa bio zonauang zonatest zonaba
Wed Oct 30 09:18:19 +0000 2024;akun aespa official nih demen banget memancing keributan;Opini/Ekspresi;akun aespa official nih demen banget memancing keributan;akun aespa official nih demen banget memancing keributan;['akun', 'aespa', 'official', 'nih', 'demen', 'banget', 'memancing', 'keributan'];['akun', 'official', 'nih', 'demen', 'banget', 'memancing', 'keributan'];['akun', 'official', 'nih', 'demen', 'banget', 'pancing', 'ribut'];akun official nih demen banget pancing ribut
Sun Oct 06 16:27:58 +0000 2024;@myskarin @aespa_official mager lg ;Opini/Ekspresi;@myskarin @aespa_official mager lg ;mager lg;['mager', 'lg'];['mager', 'lg'];['mager', 'lg'];mager lg
Sun Oct 06 15:28:59 +0000 2024;@myskarin @aespa_official ALWAYS KEREN POL AJARIN AK DONG;Interaksi Fandom;@myskarin @aespa_official always keren pol ajarin ak dong;always keren pol ajarin ak dong;['always', 'keren', 'pol', 'ajarin', 'ak', 'dong'];['always', 'keren', 'pol', 'ajarin', 'ak', 'dong'];['always', 'keren', 'pol', 'ajarin', 'ak', 'dong'];always keren pol ajarin ak dong
Wed Oct 30 17:17:03 +0000 2024;Emang aespa better challenge sama yg seagensi aja kemarin2 selalu nunggu aespa challenge sama sunbae2 nya soalnya seru banget;Opini/Ekspresi;emang aespa better challenge sama yg seagensi aja kemarin2 selalu nunggu aespa challenge sama sunbae2 nya soalnya seru banget;emang aespa better challenge sama yg seagensi aja kemarin selalu nunggu aespa challenge sama sunbae nya soalnya seru banget;['emang', 'aespa', 'better', 'challenge', 'sama', 'yg', 'seagensi', 'aja', 'kemarin', 'selalu', 'nunggu', 'aespa', 'challenge', 'sama', 'sunbae', 'nya', 'soalnya', 'seru', 'banget'];['emang', 'better', 'challenge', 'sama', 'yg', 'seagensi', 'aja', 'kemarin', 'selalu', 'nunggu', 'challenge', 'sama', 'sunbae', 'nya', 'soalnya', 'seru', 'banget'];['emang', 'better', 'challenge', 'sama', 'yg', 'agens', 'aja', 'kemarin', 'selalu', 'nunggu', 'challenge', 'sama', 'sunbae', 'nya', 'soal', 'seru', 'banget'];emang better challenge sama yg agens aja kemarin selalu nunggu challenge sama sunbae nya soal seru banget
Wed Oct 30 12:54:06 +0000 2024;kenapa ningning selalu takde dalam contents aespa?? like why selalu bertiga?? she doesn t even have any solo schedule kan?;Interaksi Fandom;kenapa ningning selalu takde dalam contents aespa?? like why selalu bertiga?? she doesn t even have any solo schedule kan?;kenapa ningning selalu takde dalam contents aespa like why selalu bertiga she doesn t even have any solo schedule kan;['kenapa', 'ningning', 'selalu', 'takde', 'dalam', 'contents', 'aespa', 'like', 'why', 'selalu', 'bertiga', 'she', 'doesn', 't', 'even', 'have', 'any', 'solo', 'schedule', 'kan'];['ningning', 'selalu', 'takde', 'contents', 'like', 'selalu', 'bertiga', 'even', 'solo', 'schedule', 'kan'];['ningning', 'selalu', 'takde', 'contents', 'like', 'selalu', 'tiga', 'even', 'solo', 'schedule', 'kan'];ningning selalu takde contents like selalu tiga even solo schedule kan
Sun Oct 06 16:03:57 +0000 2024;@myskarin @aespa_official dulu tuh pas sd aku bisa jirrrr ngedance tp skrg dah kaku bgt ;Opini/Ekspresi;@myskarin @aespa_official dulu tuh pas sd aku bisa jirrrr ngedance tp skrg dah kaku bgt ;dulu tuh pas sd aku bisa jirrrr ngedance tp skrg dah kaku bgt;['dulu', 'tuh', 'pas', 'sd', 'aku', 'bisa', 'jirrrr', 'ngedance', 'tp', 'skrg', 'dah', 'kaku', 'bgt'];['dulu', 'tuh', 'pas', 'sd', 'aku', 'jirrrr', 'ngedance', 'tp', 'skrg', 'dah', 'kaku', 'bgt'];['dulu', 'tuh', 'pas', 'sd', 'aku', 'jirrrr', 'ngedance', 'tp', 'skrg', 'dah', 'kaku', 'bgt'];dulu tuh pas sd aku jirrrr ngedance tp skrg dah kaku bgt
Thu Oct 24 07:05:08 +0000 2024;CW // KPop Tolong rekomendasikan aku AU yang cast nya Aeri aespa Lagi tercinta-cinta dengan Aeri. Udah hopeless banget nyari di fanbasenya aespa dan di aplikasi lain ;Interaksi Fandom;cw // kpop tolong rekomendasikan aku au yang cast nya aeri aespa lagi tercinta-cinta dengan aeri. udah hopeless banget nyari di fanbasenya aespa dan di aplikasi lain ;cw kpop tolong rekomendasikan aku au yang cast nya aeri aespa lagi tercinta cinta dengan aeri udah hopeless banget nyari di fanbasenya aespa dan di aplikasi lain;['cw', 'kpop', 'tolong', 'rekomendasikan', 'aku', 'au', 'yang', 'cast', 'nya', 'aeri', 'aespa', 'lagi', 'tercinta', 'cinta', 'dengan', 'aeri', 'udah', 'hopeless', 'banget', 'nyari', 'di', 'fanbasenya', 'aespa', 'dan', 'di', 'aplikasi', 'lain'];['cw', 'kpop', 'rekomendasikan', 'aku', 'au', 'cast', 'nya', 'aeri', 'tercinta', 'cinta', 'aeri', 'udah', 'hopeless', 'banget', 'nyari', 'fanbasenya', 'aplikasi'];['cw', 'kpop', 'rekomendasi', 'aku', 'au', 'cast', 'nya', 'aeri', 'cinta', 'cinta', 'aeri', 'udah', 'hopeless', 'banget', 'nyari', 'fanbasenya', 'aplikasi'];cw kpop rekomendasi aku au cast nya aeri cinta cinta aeri udah hopeless banget nyari fanbasenya aplikasi
Wed Oct 30 16:51:20 +0000 2024;KELAKUAN 2024 (tidak disarankan ditiru) : Jan - The Unity 2 hari fs WayV Feb - kerja Mar - fancon Chanyeol Apr - kerja Mei - tds3 Juni - riize nabati r*xona g idle wayv allobank Juli - kerja Aug - fs Suho Su:Home Aespa jkt Sep - fs NCT 127 Okt - WayV OTW ya allahh .. ;Opini/Ekspresi;kelakuan 2024 (tidak disarankan ditiru) : jan - the unity 2 hari fs wayv feb - kerja mar - fancon chanyeol apr - kerja mei - tds3 juni - riize nabati r*xona g idle wayv allobank juli - kerja aug - fs suho su:home aespa jkt sep - fs nct 127 okt - wayv otw ya allahh .. ;kelakuan tidak disarankan ditiru jan the unity hari fs wayv feb kerja mar fancon chanyeol apr kerja mei tds juni riize nabati r xona g idle wayv allobank juli kerja aug fs suho su home aespa jkt sep fs nct okt wayv otw ya allahh;['kelakuan', 'tidak', 'disarankan', 'ditiru', 'jan', 'the', 'unity', 'hari', 'fs', 'wayv', 'feb', 'kerja', 'mar', 'fancon', 'chanyeol', 'apr', 'kerja', 'mei', 'tds', 'juni', 'riize', 'nabati', 'r', 'xona', 'g', 'idle', 'wayv', 'allobank', 'juli', 'kerja', 'aug', 'fs', 'suho', 'su', 'home', 'aespa', 'jkt', 'sep', 'fs', 'nct', 'okt', 'wayv', 'otw', 'ya', 'allahh'];['kelakuan', 'disarankan', 'ditiru', 'jan', 'unity', 'hari', 'fs', 'wayv', 'feb', 'kerja', 'mar', 'fancon', 'chanyeol', 'apr', 'kerja', 'mei', 'tds', 'juni', 'riize', 'nabati', 'r', 'xona', 'g', 'idle', 'wayv', 'allobank', 'juli', 'kerja', 'aug', 'fs', 'suho', 'su', 'home', 'jkt', 'sep', 'fs', 'nct', 'okt', 'wayv', 'otw', 'allahh'];['laku', 'saran', 'tiru', 'jan', 'unity', 'hari', 'fs', 'wayv', 'feb', 'kerja', 'mar', 'fancon', 'chanyeol', 'apr', 'kerja', 'mei', 'tds', 'juni', 'riize', 'nabati', 'r', 'xona', 'g', 'idle', 'wayv', 'allobank', 'juli', 'kerja', 'aug', 'fs', 'suho', 'su', 'home', 'jkt', 'sep', 'fs', 'nct', 'okt', 'wayv', 'otw', 'allahh'];laku saran tiru jan unity hari fs wayv feb kerja mar fancon chanyeol apr kerja mei tds juni riize nabati r xona g idle wayv allobank juli kerja aug fs suho su home jkt sep fs nct okt wayv otw allahh
Sun Oct 06 16:18:39 +0000 2024;@myskarin @aespa_official kaku bgt kaki sm badanku wkwk kalo tangan masih bisa;Opini/Ekspresi;@myskarin @aespa_official kaku bgt kaki sm badanku wkwk kalo tangan masih bisa;kaku bgt kaki sm badanku wkwk kalo tangan masih bisa;['kaku', 'bgt', 'kaki', 'sm', 'badanku', 'wkwk', 'kalo', 'tangan', 'masih', 'bisa'];['kaku', 'bgt', 'kaki', 'sm', 'badanku', 'wkwk', 'kalo', 'tangan'];['kaku', 'bgt', 'kaki', 'sm', 'badan', 'wkwk', 'kalo', 'tangan'];kaku bgt kaki sm badan wkwk kalo tangan
Wed Oct 30 10:34:32 +0000 2024;baru tau aespa ada akun pinterest???;Opini/Ekspresi;baru tau aespa ada akun pinterest???;baru tau aespa ada akun pinterest;['baru', 'tau', 'aespa', 'ada', 'akun', 'pinterest'];['baru', 'tau', 'akun', 'pinterest'];['baru', 'tau', 'akun', 'pinterest'];baru tau akun pinterest
Wed Oct 30 14:38:07 +0000 2024;UNREAL BGT CUK AESPA DEPAN MATA GUEH KARINA SAYANGKU CINTAKU MANISKU DUNIAKUï¸ï¸ï¸ https://t.co/yJTX0IGzxo;Opini/Ekspresi;unreal bgt cuk aespa depan mata gueh karina sayangku cintaku manisku duniakuï¸ï¸ï¸ https://t.co/yjtx0igzxo;unreal bgt cuk aespa depan mata gueh karina sayangku cintaku manisku duniaku;['unreal', 'bgt', 'cuk', 'aespa', 'depan', 'mata', 'gueh', 'karina', 'sayangku', 'cintaku', 'manisku', 'duniaku'];['unreal', 'bgt', 'cuk', 'depan', 'mata', 'gueh', 'karina', 'sayangku', 'cintaku', 'manisku', 'duniaku'];['unreal', 'bgt', 'cuk', 'depan', 'mata', 'gueh', 'karina', 'sayang', 'cinta', 'manis', 'dunia'];unreal bgt cuk depan mata gueh karina sayang cinta manis dunia
Wed Oct 30 14:26:41 +0000 2024;Lah si aespa hari ini dateng ke 2 event;Informasi;lah si aespa hari ini dateng ke 2 event;lah si aespa hari ini dateng ke event;['lah', 'si', 'aespa', 'hari', 'ini', 'dateng', 'ke', 'event'];['lah', 'si', 'hari', 'dateng', 'event'];['lah', 'si', 'hari', 'dateng', 'event'];lah si hari dateng event
Wed Oct 30 11:13:42 +0000 2024;aku udah liat ini bbrp kali di tl tapi baru sadar itu hoshi nutupin plat nomor mobilnya pake stiker aespa ;Opini/Ekspresi;aku udah liat ini bbrp kali di tl tapi baru sadar itu hoshi nutupin plat nomor mobilnya pake stiker aespa ;aku udah liat ini bbrp kali di tl tapi baru sadar itu hoshi nutupin plat nomor mobilnya pake stiker aespa;['aku', 'udah', 'liat', 'ini', 'bbrp', 'kali', 'di', 'tl', 'tapi', 'baru', 'sadar', 'itu', 'hoshi', 'nutupin', 'plat', 'nomor', 'mobilnya', 'pake', 'stiker', 'aespa'];['aku', 'udah', 'liat', 'bbrp', 'kali', 'tl', 'baru', 'sadar', 'hoshi', 'nutupin', 'plat', 'nomor', 'mobilnya', 'pake', 'stiker'];['aku', 'udah', 'liat', 'bbrp', 'kali', 'tl', 'baru', 'sadar', 'hoshi', 'nutupin', 'plat', 'nomor', 'mobil', 'pake', 'stiker'];aku udah liat bbrp kali tl baru sadar hoshi nutupin plat nomor mobil pake stiker
Wed Oct 30 15:29:38 +0000 2024;Ini sih kpop sampe desember yg pegang chart isinya jennie rosÃ© aespa gd. Kapan rilisnya album gd? Jennie juga ini kapan? Seru kalau nanti gantian urut gitu jennie rosÃ© sama gd rilis albumnya.;Opini/Ekspresi;ini sih kpop sampe desember yg pegang chart isinya jennie rosã© aespa gd. kapan rilisnya album gd? jennie juga ini kapan? seru kalau nanti gantian urut gitu jennie rosã© sama gd rilis albumnya.;ini sih kpop sampe desember yg pegang chart isinya jennie ros aespa gd kapan rilisnya album gd jennie juga ini kapan seru kalau nanti gantian urut gitu jennie ros sama gd rilis albumnya;['ini', 'sih', 'kpop', 'sampe', 'desember', 'yg', 'pegang', 'chart', 'isinya', 'jennie', 'ros', 'aespa', 'gd', 'kapan', 'rilisnya', 'album', 'gd', 'jennie', 'juga', 'ini', 'kapan', 'seru', 'kalau', 'nanti', 'gantian', 'urut', 'gitu', 'jennie', 'ros', 'sama', 'gd', 'rilis', 'albumnya'];['sih', 'kpop', 'sampe', 'desember', 'yg', 'pegang', 'chart', 'isinya', 'jennie', 'ros', 'gd', 'kapan', 'rilisnya', 'album', 'gd', 'jennie', 'kapan', 'seru', 'kalau', 'gantian', 'urut', 'gitu', 'jennie', 'ros', 'sama', 'gd', 'rilis', 'albumnya'];['sih', 'kpop', 'sampe', 'desember', 'yg', 'pegang', 'chart', 'isi', 'jennie', 'ros', 'gd', 'kapan', 'rilis', 'album', 'gd', 'jennie', 'kapan', 'seru', 'kalau', 'ganti', 'urut', 'gitu', 'jennie', 'ros', 'sama', 'gd', 'rilis', 'album'];sih kpop sampe desember yg pegang chart isi jennie ros gd kapan rilis album gd jennie kapan seru kalau ganti urut gitu jennie ros sama gd rilis album
Wed Oct 30 11:29:26 +0000 2024;stc! ayo temenan kita hype stayc bareng! buat yg gamasalah akunku campur2 hype gg lain kayak loona tripleS aespa. leave a trace yaa pfpku make isa;Interaksi Fandom;stc! ayo temenan kita hype stayc bareng! buat yg gamasalah akunku campur2 hype gg lain kayak loona triples aespa. leave a trace yaa pfpku make isa;stc ayo temenan kita hype stayc bareng buat yg gamasalah akunku campur hype gg lain kayak loona triples aespa leave a trace yaa pfpku make isa;['stc', 'ayo', 'temenan', 'kita', 'hype', 'stayc', 'bareng', 'buat', 'yg', 'gamasalah', 'akunku', 'campur', 'hype', 'gg', 'lain', 'kayak', 'loona', 'triples', 'aespa', 'leave', 'a', 'trace', 'yaa', 'pfpku', 'make', 'isa'];['stc', 'ayo', 'temenan', 'hype', 'stayc', 'bareng', 'buat', 'yg', 'gamasalah', 'akunku', 'campur', 'hype', 'gg', 'kayak', 'loona', 'triples', 'leave', 'trace', 'yaa', 'pfpku', 'make', 'isa'];['stc', 'ayo', 'temenan', 'hype', 'stayc', 'bareng', 'buat', 'yg', 'gamasalah', 'akun', 'campur', 'hype', 'gg', 'kayak', 'loona', 'triples', 'leave', 'trace', 'yaa', 'pfpku', 'make', 'isa'];stc ayo temenan hype stayc bareng buat yg gamasalah akun campur hype gg kayak loona triples leave trace yaa pfpku make isa
Wed Oct 30 13:56:02 +0000 2024;ni mutualku gaada yg mau nonton mng aespa nabati kah;Interaksi Fandom;ni mutualku gaada yg mau nonton mng aespa nabati kah;ni mutualku gaada yg mau nonton mng aespa nabati kah;['ni', 'mutualku', 'gaada', 'yg', 'mau', 'nonton', 'mng', 'aespa', 'nabati', 'kah'];['ni', 'mutualku', 'gaada', 'yg', 'mau', 'nonton', 'mng', 'nabati'];['ni', 'mutualku', 'gaada', 'yg', 'mau', 'nonton', 'mng', 'nabati'];ni mutualku gaada yg mau nonton mng nabati
Wed Oct 30 14:35:05 +0000 2024; Yuk danusan yg dipict ditake ~ ada aespa blackpink izone loona red velvet https://t.co/YW1rmSky8v;Interaksi Fandom; yuk danusan yg dipict ditake ~ ada aespa blackpink izone loona red velvet https://t.co/yw1rmsky8v;yuk danusan yg dipict ditake ada aespa blackpink izone loona red velvet;['yuk', 'danusan', 'yg', 'dipict', 'ditake', 'ada', 'aespa', 'blackpink', 'izone', 'loona', 'red', 'velvet'];['yuk', 'danusan', 'yg', 'dipict', 'ditake', 'blackpink', 'izone', 'loona', 'red', 'velvet'];['yuk', 'danusan', 'yg', 'dipict', 'ditake', 'blackpink', 'izone', 'loona', 'red', 'velvet'];yuk danusan yg dipict ditake blackpink izone loona red velvet
Wed Oct 30 17:26:01 +0000 2024;KELAKUAN 2023 (ikut ngerangkum tahun lalu) Jan - the rose Feb - exo sc Mar - kerja Apr - kerja Mei - red velvet Juni - aespa Juli - kerja Aug - exo scarlett Sep - oor Okt - kerja Nov - kerja Des - red velvet;Opini/Ekspresi;kelakuan 2023 (ikut ngerangkum tahun lalu) jan - the rose feb - exo sc mar - kerja apr - kerja mei - red velvet juni - aespa juli - kerja aug - exo scarlett sep - oor okt - kerja nov - kerja des - red velvet;kelakuan ikut ngerangkum tahun lalu jan the rose feb exo sc mar kerja apr kerja mei red velvet juni aespa juli kerja aug exo scarlett sep oor okt kerja nov kerja des red velvet;['kelakuan', 'ikut', 'ngerangkum', 'tahun', 'lalu', 'jan', 'the', 'rose', 'feb', 'exo', 'sc', 'mar', 'kerja', 'apr', 'kerja', 'mei', 'red', 'velvet', 'juni', 'aespa', 'juli', 'kerja', 'aug', 'exo', 'scarlett', 'sep', 'oor', 'okt', 'kerja', 'nov', 'kerja', 'des', 'red', 'velvet'];['kelakuan', 'ikut', 'ngerangkum', 'tahun', 'lalu', 'jan', 'rose', 'feb', 'exo', 'sc', 'mar', 'kerja', 'apr', 'kerja', 'mei', 'red', 'velvet', 'juni', 'juli', 'kerja', 'aug', 'exo', 'scarlett', 'sep', 'oor', 'okt', 'kerja', 'nov', 'kerja', 'des', 'red', 'velvet'];['laku', 'ikut', 'ngerangkum', 'tahun', 'lalu', 'jan', 'rose', 'feb', 'exo', 'sc', 'mar', 'kerja', 'apr', 'kerja', 'mei', 'red', 'velvet', 'juni', 'juli', 'kerja', 'aug', 'exo', 'scarlett', 'sep', 'oor', 'okt', 'kerja', 'nov', 'kerja', 'des', 'red', 'velvet'];laku ikut ngerangkum tahun lalu jan rose feb exo sc mar kerja apr kerja mei red velvet juni juli kerja aug exo scarlett sep oor okt kerja nov kerja des red velvet
